sentence,label
"I love this movie, it was amazing",1
This product is terrible and disappointing,0
The experience was wonderful and enjoyable,1
"I hate this service, very bad quality",0
Absolutely fantastic performance,1
Worst experience of my life,0
I am very happy with the results,1
I am not satisfied with this product,0
The food was delicious and fresh,1
The movie was boring and too long,0
"Excellent work, well done",1
Poor quality and waste of money,0
I really liked the design,1
I will never buy this again,0
Superb and outstanding experience,1
This is awful and frustrating,0
Very pleasant and smooth service,1
Extremely disappointing outcome,0
I enjoyed every moment of it,1
"Not good, totally useless",0
